Format Version,1.25,Take Name,3hz,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2025-11-12 01.26.53.410 ,Capture Start Frame,308767,Total Frames in Take,1600,Total Exported Frames,1248,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Rigid Body 001:A1,Rigid Body 001:A1,Rigid Body 001:A1,Rigid Body 001:A2,Rigid Body 001:A2,Rigid Body 001:A2,Rigid Body 001:A3,Rigid Body 001:A3,Rigid Body 001:A3,Rigid Body 001:B1,Rigid Body 001:B1,Rigid Body 001:B1,Rigid Body 001:B2,Rigid Body 001:B2,Rigid Body 001:B2,Rigid Body 001:B3,Rigid Body 001:B3,Rigid Body 001:B3,Rigid Body 001:B4,Rigid Body 001:B4,Rigid Body 001:B4,Rigid Body 001:B5,Rigid Body 001:B5,Rigid Body 001:B5,Rigid Body 001:C1,Rigid Body 001:C1,Rigid Body 001:C1,Rigid Body 001:C2,Rigid Body 001:C2,Rigid Body 001:C2,Rigid Body 001:C3,Rigid Body 001:C3,Rigid Body 001:C3,Rigid Body 001:C4,Rigid Body 001:C4,Rigid Body 001:C4,Rigid Body 001:C5,Rigid Body 001:C5,Rigid Body 001:C5,Rigid Body 001:D1,Rigid Body 001:D1,Rigid Body 001:D1,Rigid Body 001:D2,Rigid Body 001:D2,Rigid Body 001:D2,Rigid Body 001:D3,Rigid Body 001:D3,Rigid Body 001:D3,Rigid Body 001:D4,Rigid Body 001:D4,Rigid Body 001:D4,Rigid Body 001:D5,Rigid Body 001:D5,Rigid Body 001:D5,Rigid Body 001:E1,Rigid Body 001:E1,Rigid Body 001:E1,Rigid Body 001:E2,Rigid Body 001:E2,Rigid Body 001:E2,Rigid Body 001:E3,Rigid Body 001:E3,Rigid Body 001:E3,Rigid Body 001:E4,Rigid Body 001:E4,Rigid Body 001:E4,Rigid Body 001:E5,Rigid Body 001:E5,Rigid Body 001:E5,Rigid Body 001:F1,Rigid Body 001:F1,Rigid Body 001:F1,Rigid Body 001:F2,Rigid Body 001:F2,Rigid Body 001:F2,Rigid Body 001:F3,Rigid Body 001:F3,Rigid Body 001:F3,Rigid Body 001:F4,Rigid Body 001:F4,Rigid Body 001:F4,Rigid Body 001:F5,Rigid Body 001:F5,Rigid Body 001:F5,Rigid Body 001:G1,Rigid Body 001:G1,Rigid Body 001:G1,Rigid Body 001:G2,Rigid Body 001:G2,Rigid Body 001:G2,Rigid Body 001:G3,Rigid Body 001:G3,Rigid Body 001:G3,Rigid Body 001:G4,Rigid Body 001:G4,Rigid Body 001:G4,Rigid Body 001:G5,Rigid Body 001:G5,Rigid Body 001:G5,Rigid Body 001:H1,Rigid Body 001:H1,Rigid Body 001:H1,Rigid Body 001:H2,Rigid Body 001:H2,Rigid Body 001:H2,Rigid Body 001:H3,Rigid Body 001:H3,Rigid Body 001:H3,Rigid Body 001:H4,Rigid Body 001:H4,Rigid Body 001:H4,Rigid Body 001:I1,Rigid Body 001:I1,Rigid Body 001:I1,Rigid Body 001:I2,Rigid Body 001:I2,Rigid Body 001:I2
,ID,"636F5AA2C0AC11F0:34386D6C6ACC76B2","636F5AA2C0AC11F0:34386D6C6ACC76B2","636F5AA2C0AC11F0:34386D6C6ACC76B2","636F5AA0C0AC11F0:34386D6C6ACC76B2","636F5AA0C0AC11F0:34386D6C6ACC76B2","636F5AA0C0AC11F0:34386D6C6ACC76B2","7C5ADCEBC0AD11F0:34386D6C6ACC76B2","7C5ADCEBC0AD11F0:34386D6C6ACC76B2","7C5ADCEBC0AD11F0:34386D6C6ACC76B2","636F5AAAC0AC11F0:34386D6C6ACC76B2","636F5AAAC0AC11F0:34386D6C6ACC76B2","636F5AAAC0AC11F0:34386D6C6ACC76B2","7C5ADCEDC0AD11F0:34386D6C6ACC76B2","7C5ADCEDC0AD11F0:34386D6C6ACC76B2","7C5ADCEDC0AD11F0:34386D6C6ACC76B2","7C5ADCECC0AD11F0:34386D6C6ACC76B2","7C5ADCECC0AD11F0:34386D6C6ACC76B2","7C5ADCECC0AD11F0:34386D6C6ACC76B2","636F5A9EC0AC11F0:34386D6C6ACC76B2","636F5A9EC0AC11F0:34386D6C6ACC76B2","636F5A9EC0AC11F0:34386D6C6ACC76B2","636F5A9DC0AC11F0:34386D6C6ACC76B2","636F5A9DC0AC11F0:34386D6C6ACC76B2","636F5A9DC0AC11F0:34386D6C6ACC76B2","636F5A8DC0AC11F0:34386D6C6ACC76B2","636F5A8DC0AC11F0:34386D6C6ACC76B2","636F5A8DC0AC11F0:34386D6C6ACC76B2","7C5ADCE6C0AD11F0:34386D6C6ACC76B2","7C5ADCE6C0AD11F0:34386D6C6ACC76B2","7C5ADCE6C0AD11F0:34386D6C6ACC76B2","636F5AA6C0AC11F0:34386D6C6ACC76B2","636F5AA6C0AC11F0:34386D6C6ACC76B2","636F5AA6C0AC11F0:34386D6C6ACC76B2","7C5ADCE4C0AD11F0:34386D6C6ACC76B2","7C5ADCE4C0AD11F0:34386D6C6ACC76B2","7C5ADCE4C0AD11F0:34386D6C6ACC76B2","636F5A92C0AC11F0:34386D6C6ACC76B2","636F5A92C0AC11F0:34386D6C6ACC76B2","636F5A92C0AC11F0:34386D6C6ACC76B2","636F5A9AC0AC11F0:34386D6C6ACC76B2","636F5A9AC0AC11F0:34386D6C6ACC76B2","636F5A9AC0AC11F0:34386D6C6ACC76B2","7C5ADCE2C0AD11F0:34386D6C6ACC76B2","7C5ADCE2C0AD11F0:34386D6C6ACC76B2","7C5ADCE2C0AD11F0:34386D6C6ACC76B2","636F5A8AC0AC11F0:34386D6C6ACC76B2","636F5A8AC0AC11F0:34386D6C6ACC76B2","636F5A8AC0AC11F0:34386D6C6ACC76B2","7C5ADCEAC0AD11F0:34386D6C6ACC76B2","7C5ADCEAC0AD11F0:34386D6C6ACC76B2","7C5ADCEAC0AD11F0:34386D6C6ACC76B2","7C5ADCE0C0AD11F0:34386D6C6ACC76B2","7C5ADCE0C0AD11F0:34386D6C6ACC76B2","7C5ADCE0C0AD11F0:34386D6C6ACC76B2","636F5AA1C0AC11F0:34386D6C6ACC76B2","636F5AA1C0AC11F0:34386D6C6ACC76B2","636F5AA1C0AC11F0:34386D6C6ACC76B2","7C5ADCE7C0AD11F0:34386D6C6ACC76B2","7C5ADCE7C0AD11F0:34386D6C6ACC76B2","7C5ADCE7C0AD11F0:34386D6C6ACC76B2","7C5ADCF0C0AD11F0:34386D6C6ACC76B2","7C5ADCF0C0AD11F0:34386D6C6ACC76B2","7C5ADCF0C0AD11F0:34386D6C6ACC76B2","7C5ADCE8C0AD11F0:34386D6C6ACC76B2","7C5ADCE8C0AD11F0:34386D6C6ACC76B2","7C5ADCE8C0AD11F0:34386D6C6ACC76B2","636F5AA3C0AC11F0:34386D6C6ACC76B2","636F5AA3C0AC11F0:34386D6C6ACC76B2","636F5AA3C0AC11F0:34386D6C6ACC76B2","636F5AA9C0AC11F0:34386D6C6ACC76B2","636F5AA9C0AC11F0:34386D6C6ACC76B2","636F5AA9C0AC11F0:34386D6C6ACC76B2","636F5AACC0AC11F0:34386D6C6ACC76B2","636F5AACC0AC11F0:34386D6C6ACC76B2","636F5AACC0AC11F0:34386D6C6ACC76B2","7C5ADCE5C0AD11F0:34386D6C6ACC76B2","7C5ADCE5C0AD11F0:34386D6C6ACC76B2","7C5ADCE5C0AD11F0:34386D6C6ACC76B2","7C5ADCE9C0AD11F0:34386D6C6ACC76B2","7C5ADCE9C0AD11F0:34386D6C6ACC76B2","7C5ADCE9C0AD11F0:34386D6C6ACC76B2","7C5ADCE3C0AD11F0:34386D6C6ACC76B2","7C5ADCE3C0AD11F0:34386D6C6ACC76B2","7C5ADCE3C0AD11F0:34386D6C6ACC76B2","636F5AA5C0AC11F0:34386D6C6ACC76B2","636F5AA5C0AC11F0:34386D6C6ACC76B2","636F5AA5C0AC11F0:34386D6C6ACC76B2","636F5A9CC0AC11F0:34386D6C6ACC76B2","636F5A9CC0AC11F0:34386D6C6ACC76B2","636F5A9CC0AC11F0:34386D6C6ACC76B2","636F5AABC0AC11F0:34386D6C6ACC76B2","636F5AABC0AC11F0:34386D6C6ACC76B2","636F5AABC0AC11F0:34386D6C6ACC76B2","636F5AAEC0AC11F0:34386D6C6ACC76B2","636F5AAEC0AC11F0:34386D6C6ACC76B2","636F5AAEC0AC11F0:34386D6C6ACC76B2","7C5ADCEFC0AD11F0:34386D6C6ACC76B2","7C5ADCEFC0AD11F0:34386D6C6ACC76B2","7C5ADCEFC0AD11F0:34386D6C6ACC76B2","636F5A98C0AC11F0:34386D6C6ACC76B2","636F5A98C0AC11F0:34386D6C6ACC76B2","636F5A98C0AC11F0:34386D6C6ACC76B2","7C5ADCE1C0AD11F0:34386D6C6ACC76B2","7C5ADCE1C0AD11F0:34386D6C6ACC76B2","7C5ADCE1C0AD11F0:34386D6C6ACC76B2","7C5ADCF1C0AD11F0:34386D6C6ACC76B2","7C5ADCF1C0AD11F0:34386D6C6ACC76B2","7C5ADCF1C0AD11F0:34386D6C6ACC76B2","636F5AADC0AC11F0:34386D6C6ACC76B2","636F5AADC0AC11F0:34386D6C6ACC76B2","636F5AADC0AC11F0:34386D6C6ACC76B2","636F5AA4C0AC11F0:34386D6C6ACC76B2","636F5AA4C0AC11F0:34386D6C6ACC76B2","636F5AA4C0AC11F0:34386D6C6ACC76B2","7C5ADCEEC0AD11F0:34386D6C6ACC76B2","7C5ADCEEC0AD11F0:34386D6C6ACC76B2","7C5ADCEEC0AD11F0:34386D6C6ACC76B2"
,Parent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2000,0.513889,53.066624,302.874756,15.175190,121.240013,294.704803,-32.950661,179.870789,283.253479,-74.858902,75.447510,290.556030,44.161747,102.778343,284.757935,20.931084,131.187057,277.312500,-0.754279,159.341965,268.453857,-24.886543,194.106445,259.320068,-49.455917,95.790909,282.019226,71.006058,122.749771,274.483093,49.231304,149.583771,264.067719,25.856287,176.794327,254.310913,3.371482,209.709747,242.830368,-22.754765,117.186440,272.177826,100.614899,143.776886,263.093719,77.763222,169.884766,252.114212,53.860344,195.564758,239.802368,30.925121,227.409256,226.726273,4.641381,139.527542,262.359344,130.138977,164.238190,251.284119,108.238602,189.195312,236.989670,83.197639,214.244827,223.301834,59.443157,245.702850,211.977020,33.380058,166.166092,252.075851,164.488113,189.704895,236.552643,141.626404,213.668854,221.506104,117.269638,236.748947,205.955093,94.078331,261.018738,194.517410,72.480606,188.625458,244.598267,192.649399,210.663574,226.709564,169.681091,233.844742,215.250427,145.782562,248.085739,198.665787,129.035263,266.503296,188.762512,112.857147,211.283447,231.491730,220.946106,231.279312,216.720169,198.274170,248.564819,203.903915,180.978104,262.320160,190.327728,164.424591,225.660202,225.201630,238.266510,246.632187,210.929138,214.755692
2001,0.516667,53.063541,303.031677,15.163296,121.238022,294.807526,-32.953133,179.881958,283.318359,-74.831772,75.567825,291.540009,44.239964,102.947281,285.682953,21.042114,131.366592,278.182739,-0.598068,159.543472,269.186218,-24.656328,194.318146,259.938263,-49.162605,95.995308,283.603058,71.147392,123.033012,276.029327,49.431896,149.907394,265.501068,26.144142,177.130630,255.564362,3.737318,210.048111,243.846527,-22.315437,117.520554,274.430237,100.850807,144.160690,265.273468,78.067139,170.363602,254.194016,54.259960,196.077927,241.735626,31.448231,227.994064,228.513718,5.273285,139.966492,265.291382,130.455734,164.757156,254.118973,108.672523,189.824661,239.708572,83.760406,214.945587,225.869553,60.127743,246.470062,214.446869,34.146797,166.733948,255.697159,164.852798,190.395569,240.174866,142.170349,214.466949,224.985641,117.984741,237.645996,209.264694,94.943672,261.977692,197.716705,73.433784,189.286621,248.720932,193.022079,211.433548,230.910965,170.319534,234.589661,219.006790,146.383514,249.073593,202.607559,129.960739,267.561462,192.609955,113.848846,212.083572,236.562012,221.542068,232.131607,221.447571,198.939697,249.502991,208.523193,181.750732,263.453064,194.998596,165.435028,226.525894,230.666092,238.915390,247.586273,216.217316,215.537369
2002,0.519444,53.060043,303.195557,15.150546,121.235970,294.918091,-32.955822,179.895828,283.396271,-74.803009,75.682243,292.561340,44.309235,103.112251,286.657562,21.147192,131.552383,279.118683,-0.442148,159.767960,270.002838,-24.414480,194.553589,260.645233,-48.856182,96.191124,285.247620,71.275238,123.311424,277.656525,49.623726,150.247406,267.042511,26.431528,177.501984,256.959534,4.114469,210.425613,245.012161,-21.858173,117.843170,276.770172,101.072151,144.545975,267.564606,78.360329,170.861511,256.414886,54.657322,196.636856,243.849274,31.977798,228.635376,230.510452,5.920121,140.391632,268.338104,130.752731,165.278885,257.099609,109.092346,190.477219,242.608002,84.317688,215.702637,228.665344,60.815605,247.309982,217.181534,34.923546,167.287003,259.460449,165.196472,191.094330,243.987366,142.693710,215.302475,228.698761,118.692871,238.607544,212.845154,95.807060,263.021912,201.227051,74.390778,189.925659,253.027344,193.374100,212.210342,235.319214,170.929596,235.367859,223.007065,146.973755,250.123657,206.845383,130.875504,268.697052,196.782745,114.836967,212.851761,241.833542,222.107468,232.991272,226.414764,199.582535,250.473801,213.416412,182.505966,264.647369,199.993042,166.424698,227.363419,236.349594,239.530746,248.541580,221.773575,216.295563
2003,0.522222,53.056091,303.365845,15.136868,121.233818,295.036041,-32.958817,179.912247,283.486786,-74.772850,75.790398,293.616943,44.367008,103.271317,287.676086,21.243382,131.739868,280.112213,-0.291700,160.009720,270.893494,-24.167442,194.804291,261.427002,-48.545040,96.378304,286.948669,71.386810,123.582764,279.356018,49.801838,150.597717,268.681702,26.711571,177.899811,258.482941,4.494152,210.833710,246.314163,-21.392330,118.153717,279.191162,101.273521,144.928818,269.957550,78.635391,171.372208,258.765259,55.042965,197.228592,246.127060,32.503315,229.320923,232.698380,6.567985,140.802353,271.490509,131.022476,165.798645,260.214203,109.488380,191.146500,245.672165,84.858879,216.506668,231.673294,61.494678,248.210220,220.163300,35.696182,167.822510,263.354156,165.512421,191.794388,247.974548,143.185913,216.165451,232.624985,119.378311,239.622253,216.678314,96.653046,264.136536,205.029053,75.334137,190.539047,257.502625,193.696671,212.987717,239.919250,171.502045,236.171188,227.235397,147.543732,251.221573,211.358383,131.763443,269.895752,201.260910,115.803169,213.587402,247.291260,222.628998,233.851547,231.604691,200.191483,251.467621,218.564911,183.231216,265.886963,205.285873,167.377518,228.170914,242.235336,240.099182,249.490753,227.576065,217.014771
2004,0.525000,53.051659,303.542053,15.122184,121.231544,295.160889,-32.962208,179.931030,283.589539,-74.741539,75.892090,294.703644,44.411011,103.423653,288.733093,21.328541,131.925827,281.155243,-0.150879,160.263855,271.848541,-23.920582,195.062210,262.269440,-48.236752,96.555359,288.702332,71.478607,123.844627,281.119843,49.961845,150.953033,270.408905,26.978586,178.316406,260.122528,4.869715,211.263367,247.737808,-20.926445,118.451782,281.685822,101.449303,145.305145,272.442444,78.885727,171.888535,261.233307,55.408779,197.843246,248.551956,33.015572,230.039078,235.059982,7.203855,141.198166,274.740417,131.258652,166.311584,263.449707,109.852539,191.825302,248.885361,85.374451,217.347534,234.874176,62.154060,249.156189,223.371902,36.451405,168.337708,267.366272,165.794449,192.488770,252.120758,143.637527,217.043930,236.744232,120.027557,240.676712,220.743729,97.468468,265.305786,209.102142,76.248520,191.123642,262.131500,193.981659,213.759338,244.695114,172.028336,236.991318,231.675140,148.084244,252.352112,216.123123,132.609604,271.142395,206.022751,116.732117,214.289398,252.919678,223.094742,234.705505,236.999344,200.756073,252.474670,223.949036,183.914581,267.154205,210.847961,168.278564,228.943954,248.306061,240.609161,250.426407,233.603958,217.680283
