Format Version,1.25,Take Name,2hz,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2025-11-12 01.26.21.770 ,Capture Start Frame,299002,Total Frames in Take,6564,Total Exported Frames,1526,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Rigid Body 001:A1,Rigid Body 001:A1,Rigid Body 001:A1,Rigid Body 001:A3,Rigid Body 001:A3,Rigid Body 001:A3,Rigid Body 001:A5,Rigid Body 001:A5,Rigid Body 001:A5,Rigid Body 001:B1,Rigid Body 001:B1,Rigid Body 001:B1,Rigid Body 001:B2,Rigid Body 001:B2,Rigid Body 001:B2,Rigid Body 001:B3,Rigid Body 001:B3,Rigid Body 001:B3,Rigid Body 001:B4,Rigid Body 001:B4,Rigid Body 001:B4,Rigid Body 001:B5,Rigid Body 001:B5,Rigid Body 001:B5,Rigid Body 001:C1,Rigid Body 001:C1,Rigid Body 001:C1,Rigid Body 001:C2,Rigid Body 001:C2,Rigid Body 001:C2,Rigid Body 001:C3,Rigid Body 001:C3,Rigid Body 001:C3,Rigid Body 001:C4,Rigid Body 001:C4,Rigid Body 001:C4,Rigid Body 001:C5,Rigid Body 001:C5,Rigid Body 001:C5,Rigid Body 001:D1,Rigid Body 001:D1,Rigid Body 001:D1,Rigid Body 001:D2,Rigid Body 001:D2,Rigid Body 001:D2,Rigid Body 001:D3,Rigid Body 001:D3,Rigid Body 001:D3,Rigid Body 001:D4,Rigid Body 001:D4,Rigid Body 001:D4,Rigid Body 001:D5,Rigid Body 001:D5,Rigid Body 001:D5,Rigid Body 001:E1,Rigid Body 001:E1,Rigid Body 001:E1,Rigid Body 001:E2,Rigid Body 001:E2,Rigid Body 001:E2,Rigid Body 001:E3,Rigid Body 001:E3,Rigid Body 001:E3,Rigid Body 001:E4,Rigid Body 001:E4,Rigid Body 001:E4,Rigid Body 001:E5,Rigid Body 001:E5,Rigid Body 001:E5,Rigid Body 001:F1,Rigid Body 001:F1,Rigid Body 001:F1,Rigid Body 001:F2,Rigid Body 001:F2,Rigid Body 001:F2,Rigid Body 001:F3,Rigid Body 001:F3,Rigid Body 001:F3,Rigid Body 001:F4,Rigid Body 001:F4,Rigid Body 001:F4,Rigid Body 001:F5,Rigid Body 001:F5,Rigid Body 001:F5,Rigid Body 001:G1,Rigid Body 001:G1,Rigid Body 001:G1,Rigid Body 001:G2,Rigid Body 001:G2,Rigid Body 001:G2,Rigid Body 001:G3,Rigid Body 001:G3,Rigid Body 001:G3,Rigid Body 001:G4,Rigid Body 001:G4,Rigid Body 001:G4,Rigid Body 001:G5,Rigid Body 001:G5,Rigid Body 001:G5,Rigid Body 001:H1,Rigid Body 001:H1,Rigid Body 001:H1,Rigid Body 001:H2,Rigid Body 001:H2,Rigid Body 001:H2,Rigid Body 001:H3,Rigid Body 001:H3,Rigid Body 001:H3,Rigid Body 001:H4,Rigid Body 001:H4,Rigid Body 001:H4,Rigid Body 001:I1,Rigid Body 001:I1,Rigid Body 001:I1,Rigid Body 001:I2,Rigid Body 001:I2,Rigid Body 001:I2
",ID,""106442BEBFF811F0:CB00767568E275B2"",""106442BEBFF811F0:CB00767568E275B2"",""106442BEBFF811F0:CB00767568E275B2"",""106442BDBFF811F0:CB00767568E275B2"",""106442BDBFF811F0:CB00767568E275B2"",""106442BDBFF811F0:CB00767568E275B2"",""106442BCBFF811F0:CB00767568E275B2"",""106442BCBFF811F0:CB00767568E275B2"",""106442BCBFF811F0:CB00767568E275B2"",""106442BFBFF811F0:CB00767568E275B2"",""106442BFBFF811F0:CB00767568E275B2"",""106442BFBFF811F0:CB00767568E275B2"",""106442B9BFF811F0:CB00767568E275B2"",""106442B9BFF811F0:CB00767568E275B2"",""106442B9BFF811F0:CB00767568E275B2"",""106442B8BFF811F0:CB00767568E275B2"",""106442B8BFF811F0:CB00767568E275B2"",""106442B8BFF811F0:CB00767568E275B2"",""106442BBBFF811F0:CB00767568E275B2"",""106442BBBFF811F0:CB00767568E275B2"",""106442BBBFF811F0:CB00767568E275B2"",""106442D4BFF811F0:CB00767568E275B2"",""106442D4BFF811F0:CB00767568E275B2"",""106442D4BFF811F0:CB00767568E275B2"",""106442BABFF811F0:CB00767568E275B2"",""106442BABFF811F0:CB00767568E275B2"",""106442BABFF811F0:CB00767568E275B2"",""106442CFBFF811F0:CB00767568E275B2"",""106442CFBFF811F0:CB00767568E275B2"",""106442CFBFF811F0:CB00767568E275B2"",""106442C8BFF811F0:CB00767568E275B2"",""106442C8BFF811F0:CB00767568E275B2"",""106442C8BFF811F0:CB00767568E275B2"",""106442C9BFF811F0:CB00767568E275B2"",""106442C9BFF811F0:CB00767568E275B2"",""106442C9BFF811F0:CB00767568E275B2"",""106442D2BFF811F0:CB00767568E275B2"",""106442D2BFF811F0:CB00767568E275B2"",""106442D2BFF811F0:CB00767568E275B2"",""106442CBBFF811F0:CB00767568E275B2"",""106442CBBFF811F0:CB00767568E275B2"",""106442CBBFF811F0:CB00767568E275B2"",""106442C5BFF811F0:CB00767568E275B2"",""106442C5BFF811F0:CB00767568E275B2"",""106442C5BFF811F0:CB00767568E275B2"",""106442D8BFF811F0:CB00767568E275B2"",""106442D8BFF811F0:CB00767568E275B2"",""106442D8BFF811F0:CB00767568E275B2"",""106442DBBFF811F0:CB00767568E275B2"",""106442DBBFF811F0:CB00767568E275B2"",""106442DBBFF811F0:CB00767568E275B2"",""106442DABFF811F0:CB00767568E275B2"",""106442DABFF811F0:CB00767568E275B2"",""106442DABFF811F0:CB00767568E275B2"",""106442C6BFF811F0:CB00767568E275B2"",""106442C6BFF811F0:CB00767568E275B2"",""106442C6BFF811F0:CB00767568E275B2"",""106442DCBFF811F0:CB00767568E275B2"",""106442DCBFF811F0:CB00767568E275B2"",""106442DCBFF811F0:CB00767568E275B2"",""106442CEBFF811F0:CB00767568E275B2"",""106442CEBFF811F0:CB00767568E275B2"",""106442CEBFF811F0:CB00767568E275B2"",""106442D1BFF811F0:CB00767568E275B2"",""106442D1BFF811F0:CB00767568E275B2"",""106442D1BFF811F0:CB00767568E275B2"",""106442CCBFF811F0:CB00767568E275B2"",""106442CCBFF811F0:CB00767568E275B2"",""106442CCBFF811F0:CB00767568E275B2"",""106442C2BFF811F0:CB00767568E275B2"",""106442C2BFF811F0:CB00767568E275B2"",""106442C2BFF811F0:CB00767568E275B2"",""106442C3BFF811F0:CB00767568E275B2"",""106442C3BFF811F0:CB00767568E275B2"",""106442C3BFF811F0:CB00767568E275B2"",""106442D0BFF811F0:CB00767568E275B2"",""106442D0BFF811F0:CB00767568E275B2"",""106442D0BFF811F0:CB00767568E275B2"",""106442D9BFF811F0:CB00767568E275B2"",""106442D9BFF811F0:CB00767568E275B2"",""106442D9BFF811F0:CB00767568E275B2"",""106442D5BFF811F0:CB00767568E275B2"",""106442D5BFF811F0:CB00767568E275B2"",""106442D5BFF811F0:CB00767568E275B2"",""106442C7BFF811F0:CB00767568E275B2"",""106442C7BFF811F0:CB00767568E275B2"",""106442C7BFF811F0:CB00767568E275B2"",""106442C4BFF811F0:CB00767568E275B2"",""106442C4BFF811F0:CB00767568E275B2"",""106442C4BFF811F0:CB00767568E275B2"",""106442D7BFF811F0:CB00767568E275B2"",""106442D7BFF811F0:CB00767568E275B2"",""106442D7BFF811F0:CB00767568E275B2"",""106442C0BFF811F0:CB00767568E275B2"",""106442C0BFF811F0:CB00767568E275B2"",""106442C0BFF811F0:CB00767568E275B2"",""106442D3BFF811F0:CB00767568E275B2"",""106442D3BFF811F0:CB00767568E275B2"",""106442D3BFF811F0:CB00767568E275B2"",""106442CABFF811F0:CB00767568E275B2"",""106442CABFF811F0:CB00767568E275B2"",""106442CABFF811F0:CB00767568E275B2"",""106442DDBFF811F0:CB00767568E275B2"",""106442DDBFF811F0:CB00767568E275B2"",""106442DDBFF811F0:CB00767568E275B2"",""106442DEBFF811F0:CB00767568E275B2"",""106442DEBFF811F0:CB00767568E275B2"",""106442DEBFF811F0:CB00767568E275B2"",""106442C1BFF811F0:CB00767568E275B2"",""106442C1BFF811F0:CB00767568E275B2"",""106442C1BFF811F0:CB00767568E275B2"",""106442CDBFF811F0:CB00767568E275B2"",""106442CDBFF811F0:CB00767568E275B2"",""106442CDBFF811F0:CB00767568E275B2"",""106442D6BFF811F0:CB00767568E275B2"",""106442D6BFF811F0:CB00767568E275B2"",""106442D6BFF811F0:CB00767568E275B2"""
,Parent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
3625,10.069444,53.344185,299.410187,15.637122,121.732552,293.308167,-31.875998,180.852325,283.257568,-73.853874,75.531036,288.372498,45.594143,103.636063,287.199036,22.058554,133.309677,285.341827,0.487623,164.662384,283.457336,-21.703735,200.869614,279.139130,-45.818619,95.255493,277.844025,71.913971,123.596664,277.644379,51.270161,154.090118,278.113434,28.249886,184.868179,277.033539,8.213430,220.666153,276.110840,-17.356724,116.297356,261.417725,102.620804,145.733902,261.560333,81.098450,175.078354,265.193848,57.424042,205.456268,264.299622,35.825890,240.614502,262.122406,10.171211,138.011108,248.553604,132.755142,167.339752,248.700577,112.590675,197.383255,246.838913,88.529449,228.220139,247.202606,66.379997,263.494293,249.534332,42.151936,163.968826,233.561615,168.058807,193.460876,234.353653,146.493942,223.703537,233.909332,123.567932,254.165466,232.523911,102.245949,283.179932,236.242889,82.286789,186.088577,221.436813,196.871902,215.122528,221.950531,176.130707,244.814743,222.782410,152.978775,265.309540,223.807236,136.912964,287.589966,229.160858,124.842789,207.476349,208.680161,226.262772,235.934830,207.809479,204.135208,259.631348,208.938995,187.941620,278.584076,210.944092,172.500992,221.671112,200.813629,243.798111,250.159348,204.519165,223.033356
3626,10.072222,53.328224,299.152313,15.622962,121.714195,293.128204,-31.919678,180.806366,283.015259,-73.962624,75.381073,287.588104,45.417416,103.478745,286.426300,21.962912,133.218994,284.655853,0.460115,164.554871,282.727051,-21.779108,200.732849,278.321472,-45.928493,95.044937,276.637299,71.739288,123.375450,276.312714,51.060478,153.899628,276.930603,28.142187,184.693436,275.644836,8.074657,220.454788,274.627533,-17.492670,115.870270,259.418335,102.233261,145.317230,259.552032,80.803955,174.718964,263.304749,57.149136,205.113235,262.324829,35.554085,240.232071,260.023071,9.882698,137.453262,246.045227,132.266449,166.688538,246.094955,112.034271,196.591980,243.987457,87.754463,227.671875,244.385727,65.894791,262.915131,246.607529,41.642632,163.268219,230.377045,167.509583,192.826553,230.995895,145.858490,222.830246,230.273727,122.836617,253.202591,229.038574,101.125214,282.431580,232.408752,81.724113,185.021088,217.543045,195.950882,214.149155,217.917786,175.212051,243.872269,218.402588,151.951096,264.138428,219.500427,135.984268,286.509338,224.618881,123.812042,206.432281,204.312531,225.330475,234.720383,203.261475,203.095963,257.744873,203.851700,186.263657,277.587585,206.028305,171.546417,220.420227,196.055115,242.766388,248.882233,199.613892,222.070068
3627,10.075000,53.311649,298.902191,15.608272,121.697670,292.951965,-31.962503,180.721680,282.793274,-74.033691,75.232864,286.829163,45.243286,103.320625,285.671051,21.860968,133.126266,283.985291,0.428225,164.443512,282.007660,-21.860626,200.590027,277.510742,-46.045486,94.832024,275.467804,71.556969,123.151939,275.019806,50.846569,153.706497,275.773163,28.027401,184.505615,274.276154,7.920522,220.230682,273.157623,-17.646816,115.431259,257.599030,101.763626,144.804779,257.639343,80.278152,174.352936,261.455139,56.859745,204.757339,260.381104,35.263767,239.832520,257.946716,9.571557,136.632812,243.395935,131.523605,166.069290,243.587585,111.397682,195.977386,241.278641,87.154556,226.949448,241.614151,65.243279,262.307312,243.710342,41.090477,162.302902,227.134644,166.391891,191.828644,227.477280,144.849792,222.230789,226.918365,122.172813,252.278320,225.361603,100.452850,281.644989,228.625153,81.110199,184.201340,214.071045,195.223114,213.153458,213.977844,174.256165,242.919525,214.188156,150.993042,263.290802,215.169769,135.296402,285.535522,220.294861,123.258324,205.175720,200.050110,224.379593,233.723633,198.798096,202.077896,257.228088,199.716644,185.622940,276.277252,201.113632,170.345306,219.255814,191.658997,241.792053,247.344910,195.446579,220.698334
3628,10.077778,53.294590,298.660217,15.593079,121.681435,292.778687,-32.004601,180.690155,282.514435,-74.092316,75.086388,286.096466,45.070267,103.161858,284.934570,21.753252,133.031937,283.330933,0.392231,164.328613,281.299957,-21.947968,200.441391,276.707672,-46.169380,94.618011,274.338257,71.369011,122.926529,273.766846,50.628830,153.511398,274.642822,27.906300,184.305847,272.928986,7.752359,219.994614,271.702240,-17.818480,114.926071,255.693283,101.314972,144.328735,255.691437,79.817261,173.980896,259.647064,56.557201,204.389236,258.470551,34.955833,239.416718,255.895920,9.238997,136.111237,241.107712,130.882568,165.425232,241.047974,110.681610,195.373734,238.647125,86.579491,226.252945,238.859482,64.520599,261.673950,240.849655,40.498741,161.584198,224.033768,165.718689,191.153412,224.300674,144.168274,221.093475,223.326691,121.212273,251.352158,221.787811,99.485115,280.819275,224.897919,80.441750,183.085922,210.260361,194.116287,212.143051,210.136612,173.274384,241.694153,210.037704,149.893845,262.080933,210.899246,134.062012,284.649658,215.802979,121.970360,204.024948,195.955704,223.030228,232.412582,194.472092,200.893875,256.468109,195.351822,184.774811,275.095093,196.317581,169.323608,217.775070,186.937714,240.433853,246.085220,190.636795,219.657913
3629,10.080556,53.277153,298.427155,15.577569,121.665947,292.608063,-32.045311,180.595230,282.235687,-74.224533,74.941948,285.391968,44.899490,103.004929,284.219513,21.642000,132.936401,282.693726,0.352412,164.210541,280.604767,-22.040783,200.287155,275.913177,-46.299950,94.404785,273.251221,71.177429,122.700264,272.555298,50.408318,153.315033,273.541260,27.779690,184.095230,271.604980,7.571288,219.747177,270.262299,-18.007046,114.392204,253.721085,100.774811,143.833206,253.690720,79.404938,173.603546,257.883240,56.242954,204.010162,256.596161,34.631889,238.985443,253.872757,8.886142,135.551468,238.738739,130.307251,164.762390,238.623856,110.016846,194.554474,235.995239,85.842987,225.638580,236.154755,63.919903,261.018616,238.031723,39.872017,160.666550,221.015762,164.956299,190.080856,221.028809,143.113525,220.442200,220.231644,120.513458,250.460510,218.045288,98.788010,279.953400,221.232864,79.715446,182.053253,206.722900,193.177017,211.121094,206.396301,172.272308,240.902512,206.151382,149.034912,261.021515,206.660858,133.032654,283.326538,212.290588,121.570168,202.902191,191.921814,222.043762,231.100723,190.036255,199.690948,255.484970,191.072784,183.764587,274.107208,191.869583,168.143356,216.638458,182.692825,239.306366,244.472794,186.386612,218.676346
