wing_density, damping_constant, spring_constant, mean_difference_position
        0.05,              0.1,              10,     0.02075188210395348
        0.05,              0.1,              20,     0.0206167177427216
        0.05,              0.1,              30,     0.02053689557136948
        0.05,              0.1,              40,     0.020484514269679108
        0.05,              0.1,              50,     0.020447603204279408
        0.05,              0.1,              60,     0.020420238066764216
        0.05,              0.1,              70,     0.02039916442666227
        0.05,              0.1,              80,     0.020382450838551416
        0.05,              0.1,              90,     0.020368881016458836
        0.05,              0.1,             100,     0.02035765212593074
        0.05,              0.2,              10,     0.020511831216332762
        0.05,              0.2,              20,     0.020469621371136452
        0.05,              0.2,              30,     0.02043854387916897
        0.05,              0.2,              40,     0.02041474401527477
        0.05,              0.2,              50,     0.020395955301982873
